ID,LOC1,LOC2,LOC3,PREDICTED
A2M,plasma protein,nan,nan,extracellular
ABCC8,PM,nan,nan,membrane
ABCC9,PM,nan,nan,membrane
ABHD2,ER membrane,nan,nan,membrane
ACTN1,cytosol,nan,nan,cytoskeleton / cytosol
ACTN2,cytosol,nan,nan,cytoskeleton / cytosol
ACTN3,cytosol,nan,nan,extracellular / cytoskeleton / cytosol
ACTN4,cytosol,nan,nan,nucleus / cytosol
ADAM10,PM,Golgi apparatus ,nan,membrane / extracellular / nucleus / plasma
ADAMTS13,nan,enzyme,nan,extracellular / reticulum
ADCY1,PM-bound,nan,nan,membrane
ADCY10,cytosol,nan,nan,nucleus / cytosol
ADCY5,PM-bound,nan,nan,membrane
ADCY6,PM-bound,nan,nan,membrane
ADCY8,PM-bound,nan,nan,membrane
ADD1 ,PM,PM-bound,cytosol,NA
ADD2 ,PM,PM-bound,cytosol,NA
ADD3,PM,PM-bound,cytosol,membrane / cytoskeleton / cytosol
ADRA1A,nan,nan,nan,membrane / nucleus
ADRA1B,nan,nan,nan,membrane / nucleus
ADRA1D,nan,nan,nan,membrane
ADRA2A ,nan,nan,nan,NA
AGTR1 ,nan,nan,nan,NA
AHCYL1,cytosol,nan,nan,cytosol
AHCYL2,cytosol,nan,nan,cytosol
AIF1,cytosol,nan,nan,membrane / nucleus / cytosol
AIF1L,cytosol,nan,nan,cytoskeleton
AKAP11,cytosol,nan,nan,cytoskeleton / nucleus / cytosol
AKAP12,cytosol,nan,nan,membrane / cytosol
AKAP5,cytosol,nan,nan,membrane / endosome / cytosol
AKT1,Cytosol,PM-bound,nan,membrane / cytoskeleton / nucleus / cytosol
ALG2,EH hand,nan,nan,cytoskeleton / reticulum / cytosol
ALOX15,Plat Domain,enzyme,arachidonic acid,membrane / cytosol
ALOX15B,Plat Domain,enzyme,arachidonic acid,membrane / cytoskeleton / nucleus / cytosol
ALOX5,PLAT domain,enzyme,arachidonic acid,nucleus / cytosol
ALOX5AP,nan,nan,arachidonic acid,nucleus / reticulum
AMN,Endosome membrane,Membrane-bound,nan,membrane / extracellular
ANK2,PM-bound,nan,nan,membrane / cytosol
ANKEF1,Cytosol,PM-bound,nan,cytosol
ANO1,PM,nan,nan,membrane / nucleus
ANO10 ,PM,nan,nan,NA
ANO2,PM,nan,nan,membrane / nucleus
ANO3 ,PM,nan,nan,NA
ANO4 ,PM,nan,nan,NA
ANO5,PM,nan,nan,membrane
ANO6 ,PM,nan,nan,NA
ANO7 ,PM,nan,nan,NA
ANO8 ,ER membrane,nan,nan,NA
ANO9 ,PM,nan,nan,NA
ANXA1 ,PM-bound,nan,nan,NA
ANXA10,PM-bound,nan,nan,extracellular / nucleus / cytosol
ANXA11,PM-bound,nan,nan,extracellular / cytoskeleton / nucleus / cytosol / lysosome
ANXA13,PM-bound,nan,nan,membrane / nucleus
ANXA2,PM-bound,nan,nan,membrane / extracellular / nucleus / endosome / lysosome
ANXA3,PM-bound,nan,nan,membrane
ANXA4,PM-bound,nan,nan,membrane / nucleus
ANXA5,PM-bound,nan,nan,extracellular / cytosol
ANXA6,PM-bound,nan,nan,endosome / lysosome
ANXA7,PM-bound,nan,nan,nucleus / reticulum
ANXA8,PM-bound,nan,nan,membrane / endosome / cytosol
ANXA9,PM-bound,nan,nan,cytosol
APBA1,nan,nan,nan,cytosol
APBB1IP ,PM,nan,nan,NA
APC,PM-bound,cytosol,nan,membrane / cytoskeleton / nucleus / cytosol
APCS,nan,nan,nan,extracellular
APP,PM,early endosome,nan,membrane / extracellular / mitochondrion / nucleus / plasma / endosome / cytosol
APP,nan,nan,nan,membrane / extracellular / mitochondrion / nucleus / plasma / endosome / cytosol
ARF1,nan,nan,interacts with NCS-1,cytosol
ARF6,nan,nan,ORAI1 exocytosis,membrane / endosome / cytosol
ARPP21 ,cytosol,nan,nan,NA
ASIC1,PM,nan,nan,membrane
ASIC2,PM,nan,nan,membrane
ASIC3,PM,nan,nan,membrane
ASIC4,PM,nan,nan,membrane
ASPH,ER membrane,nan,nan,membrane / plasma
ASPH,nan,nan,nan,membrane / plasma
ASPM,cytosol,nucleus,nan,nucleus
ASTN2 ,endosome membrane,PM,nan,NA
ATAD3A,nan,nan,nan,mitochondrion
ATF1,Nucleus,nan,nan,nucleus
ATF2 ,Nucleus,nan,nan,NA
ATP13A2,nan,nan,nan,endosome / lysosome
ATP2A1,ER membrane,nan,nan,endoplasmic
ATP2A2,ER membrane,nan,nan,membrane / plasma
ATP2A3,ER membrane,nan,nan,endoplasmic
ATP2B1,PM,nan,nan,membrane / nucleus
ATP2B2,PM,nan,nan,membrane
ATP2B3,PM,nan,nan,membrane
ATP2B4,ER membrane,nan,nan,membrane
ATP2C1,Golgi membre,PM,nan,membrane / golgi
ATP2C2,Golgi membre,PM,nan,membrane / plasma
ATP5F1B,mitochondria inner membrane,nan,nan,membrane / mitochondrion
AVIL,cytosol,nan,nan,cytoskeleton
AVPR1A ,nan,nan,nan,NA
AVPR1B,nan,nan,nan,membrane
BAIAP3,nan,nan,nan,membrane / endosome / cytosol
BAK1,mitochondria outer membrane,ER membrane,nan,mitochondrion
BANK1,cytosol,nan,nan,cytosol
BAP1,cytosol,nucleus,nan,nucleus / cytosol
BASP1,PM-bound,cytosol,nan,membrane / nucleus
BAX,mitochondria outer membrane,ER membrane,nan,mitochondrion / nucleus / reticulum / cytosol
BCAP31,nan,MAM,nan,membrane / plasma
BCAP31 ,ER membrane,mitochondria-associated membranes,nan,NA
BCL2,cytosol,nan,nan,mitochondrion / nucleus / reticulum / cytosol
BCL2L1,cytosol,nan,nan,cytoskeleton / mitochondrion / nucleus / cytosol
BCL2L10,ER membrane,mitochondria-associated membranes,nan,mitochondrion / nucleus / reticulum / cytosol
BDKRB1,nan,nan,nan,membrane
BDKRB2,nan,nan,nan,membrane
BEST1,PM,ER membrane,nan,membrane
BEST2,PM,ER membrane,nan,membrane
BEST3,PM,ER membrane,nan,membrane
BEST4,PM,ER membrane,nan,membrane
BIN1,Channel localization,nan,nan,cytosol
BLNK ,cytosol,nan,nan,NA
BMP1,metalloprotease,nan,nan,extracellular
BOK,MAM,nan,nan,nucleus / reticulum
BOK ,ER membrane,nan,nan,NA
BRSK1 ,cytosol,nucleus,nan,NA
BTK,PM-bound,cytosol,nan,membrane / nucleus / cytosol
C2CD2L ,PM,ER membrane,nan,NA
C2CD5,PM,vesicles,nan,membrane / cytosol
C2CD5,C2 domain-containing protein,nan,nan,membrane / cytosol
C2CD6,nan,nan,nan,nucleus
C3AR1,nan,nan,nan,membrane
C4orf3,PM,nan,nan,NA
C5AR1,nan,nan,nan,membrane
C5AR2,nan,nan,nan,membrane
CAB39,cytosol,nan,nan,cytosol
CAB39L,nan,nan,nan,cytosol
CABIN1,cytosol,nan,nan,nucleus / cytosol
CABP1,PM,Golgi apparatus ,cytoskeleton,membrane
CABP2,PM,Golgi apparatus ,nan,membrane
CABP4,PM,Golgi apparatus ,nan,extracellular / cytosol
CABP5,cytosol,nan,nan,cytosol
CABP7,PM,Golgi apparatus ,nan,membrane
CABYR,cytosol,nucleus,cytoskeleton,nucleus
CACFD1,PM,vesicles,nan,membrane
CACHD1,nan,nan,nan,membrane
CACNA1A,PM,nan,nan,membrane / nucleus
CACNA1B,PM,nan,nan,membrane
CACNA1C,PM,nan,nan,membrane
CACNA1D,PM,nan,nan,membrane
CACNA1E,PM,nan,nan,membrane
CACNA1F,PM,nan,nan,membrane
CACNA1G,PM,nan,nan,membrane
CACNA1H,PM,nan,nan,membrane
CACNA1I,PM,nan,nan,membrane
CACNA1S,PM,nan,nan,membrane
CACNA2D1,PM-bound,nan,nan,membrane
CACNA2D2,PM-bound,nan,nan,membrane
CACNA2D3,PM-bound,nan,nan,membrane
CACNA2D4,PM-bound,nan,nan,membrane
CACNB1,PM-bound,nan,nan,membrane
CACNB2,PM-bound,nan,nan,membrane
CACNB3,PM-bound,nan,nan,membrane
CACNB4,PM-bound,nan,nan,membrane
CACNG1,PM-bound,nan,nan,membrane
CACNG2,PM-bound,nan,nan,membrane
CACNG3,PM-bound,nan,nan,membrane
CACNG4,PM-bound,nan,nan,membrane
CACNG5,PM-bound,nan,nan,membrane
CACNG6,PM-bound,nan,nan,membrane
CACNG7,PM-bound,nan,nan,membrane
CACNG8,PM-bound,nan,nan,membrane
CACYBP,nan,nan,nan,nucleus / cytosol
CADPS,vesicles,nan,nan,cytosol
CADPS2,vesicles,nan,nan,mitochondrion / cytosol
CALB1,cytosol,nucleus,nan,nucleus
CALB2,cytosol,nucleus,nan,cytosol
CALCOCO1,cytosol,nucleus,nan,nucleus / cytosol
CALCOCO2,autophagosome membrane,cytoskeleton,perinuclear region,nucleus / cytosol
CALCR,nan,nan,nan,membrane
CALD1,cytoskeleton,myofibril,nan,membrane / cytoskeleton / cytosol
CALHM1 ,PM,ER membrane,nan,NA
CALHM2,PM,nan,nan,membrane
CALHM3,PM,nan,nan,membrane
CALHM4,PM,nan,nan,membrane / extracellular
CALHM5,PM,nan,nan,membrane
CALHM6,PM,nan,nan,membrane
CALM1,cytosol,nan,nan,membrane / cytoskeleton
CALM2,cytosol,nan,nan,membrane / cytoskeleton
CALM3,cytosol,nan,nan,membrane / cytoskeleton
CALML3,nucleus,nan,nan,extracellular
CALML4,Golgi apparatus,nucleus,cytosol,nucleus / cytosol
CALML5,cytosol,nucleus,nan,extracellular / cytosol
CALML6,??,nan,nan,cytosol
CALN1,Golgi membre,PM,ER membrane,membrane
CALR,ER lumen,nan,nan,extracellular / nucleus / reticulum / cytosol
CALU,ER membrane,golgi apparatus ,nan,extracellular
CALY,nan,nan,nan,membrane
CAMK1,cytosol,nucleus,nan,cytosol
CAMK1D,cytosol,nucleus,nan,nucleus
CAMK1G,cytosol,nucleus,nan,membrane / cytosol
CAMK2A,cytosol,nucleus,nan,nucleus / cytosol
CAMK2B ,cytosol,nucleus,nan,NA
CAMK2D ,cytosol,nucleus,nan,NA
CAMK2G ,cytosol,nucleus,nan,NA
CAMK2N1,cytosol,nan,nan,nucleus
CAMK2N2,cytosol,nan,nan,nucleus / cytosol
CAMK4,cytosol,nucleus,nan,nucleus
CAMKK1,cytosol,nucleus,nan,nucleus / cytosol
CAMKK2,cytosol,nucleus,nan,nucleus / cytosol
CAMKMT,cytosol,nucleus,nan,nucleus
CAMKV,PM-bound,vesicles,nan,membrane / nucleus / cytosol
CAMLG,nan,nan,nan,endoplasmic
CAMSAP1,nan,nan,nan,nucleus
CAMSAP2,nan,nan,nan,cytosol
CAMSAP3,nan,nan,nan,cytoskeleton / nucleus
CAMTA1,nucleoplasm,nan,nan,nucleus / cytosol
CAMTA2,nucleoplasm,nan,nan,nucleus
CANT1,nan,nan,nan,membrane / extracellular / plasma
CANX,ER lumen,nan,nan,extracellular / reticulum
CAPG,nan,nan,nan,cytoskeleton / nucleus
CAPN1,cytosol,PM-bound,nan,membrane / cytosol
CAPN10,nan,nan,nan,cytosol
CAPN11,cytosol,acrosome,nan,cytosol
CAPN12,cytosol,nan,nan,nucleus
CAPN13,cytosol,nan,nan,nucleus
CAPN14,cytosol,nan,nan,cytosol
CAPN15,cytosol,PM-bound,nan,cytosol
CAPN2,cytosol,PM-bound,nan,membrane / cytosol
CAPN3,nucleoplasm,cytosol,nan,nucleus / cytosol
CAPN5,nucleoplasm,nan,nan,extracellular / cytosol
CAPN6,microtubule,nan,nan,cytoskeleton
CAPN7,nucleoplasm,nan,nan,nucleus / cytosol
CAPN8,cytosol,nan,nan,membrane / extracellular / cytoskeleton / mitochondrion / nucleus / golgi / cytosol / lysosome
CAPN9,cytosol,nan,nan,cytosol
CAPNS1,cytosol,nucleus,nan,cytosol
CAPNS2,cytosol,nucleus,nan,membrane / cytosol
CAPRIN2,nan,nan,nan,mitochondrion / nucleus / cytosol
CAPS,cytosol,nan,nan,membrane / nucleus
CAPS2,cytosol,nan,nan,cytoskeleton / nucleus
CAPSL ,cytosol,nan,nan,NA
CARF,nan,nan,nan,cytosol
CARHSP1,nan,nan,nan,nucleus
CASK,nan,nan,nan,nucleus / cytosol
CASP1,nan,nan,nan,cytosol
CASP3,nan,nan,nan,nucleus / cytosol
CASP9,nan,nan,nan,mitochondrion / cytosol
CASQ1,ER lumen,SR lumen,nan,endoplasmic
CASQ2,SR lumen,nan,nan,endoplasmic
CASR,PM,nan,nan,membrane
CAST,cytosol,nucleus,nan,cytosol
CATSPER1,PM,nan,nan,membrane
CATSPER2,PM,nan,nan,membrane
CATSPER3,PM,nan,nan,membrane
CATSPER4,PM,nan,nan,membrane
CATSPERB,PM,nan,nan,membrane
CATSPERD,PM,nan,nan,membrane
CATSPERE,PM,nan,nan,membrane
CATSPERG,PM,nan,nan,membrane
CATSPERZ,PM,nan,nan,membrane
CAV1,PM,golgi apparatus ,nan,membrane / plasma / endosome
CAVIN1,cavelolae,nan,nan,membrane / mitochondrion / nucleus
CAVIN3,cavelolae,nan,nan,membrane
CBARP,PM,nan,nan,membrane
CBL,PM,Golgi apparatus ,nan,membrane / cytosol
CBLB,cytosol,endocytosis vesicles,nan,cytosol
CBLC,PM,Golgi apparatus ,nan,membrane / nucleus
CC2D1A,nan,nan,nan,nucleus
CCDC47,nan,nan,nan,extracellular / cytosol
CCKAR,nan,nan,nan,membrane
CCKBR,nan,nan,nan,membrane
CCN2,nan,nan,nan,membrane / extracellular
CCN3,nan,nan,nan,extracellular
CCND1,nan,nan,nan,nucleus / cytosol
CCR1,nan,nan,nan,membrane
CCR2,nan,nan,nan,membrane
CCR4,nan,nan,nan,membrane
CCR5,nan,nan,nan,membrane / endosome
CCR7,nan,nan,nan,membrane
CD101,nan,nan,nan,membrane
CD19,nan,nan,nan,membrane / extracellular
CD207,nan,nan,nan,membrane
CD209,nan,nan,nan,membrane
CD22,nan,nan,nan,membrane / extracellular
CD24,nan,glycosyl-phosphatidylinositol (GPI-) anchor,nan,membrane
CD244,nan,nan,nan,membrane
CD247,nan,nan,nan,membrane
CD36,nan,nan,nan,membrane / extracellular
CD38,nan,nan,nan,membrane / extracellular
CD4,nan,nan,nan,membrane / plasma / endosome
CD40,nan,nan,nan,membrane / extracellular
CD44,nan,nan,nan,membrane / extracellular / cytosol
CD48,nan,nan,nan,membrane / extracellular
CD59,nan,nan,nan,membrane / extracellular
CD6,nan,nan,nan,membrane
CD69,nan,nan,nan,membrane
CD84,nan,nan,nan,membrane
CDH1,nan,nan,nan,membrane / extracellular / cytoskeleton / endosome
CDH10,nan,nan,nan,membrane
CDH11,nan,nan,nan,membrane
CDH12,nan,nan,nan,membrane
CDH13,nan,nan,nan,membrane
CDH15,nan,nan,nan,membrane
CDH16,nan,nan,nan,membrane / extracellular
CDH17,nan,nan,nan,membrane / nucleus
CDH18,nan,nan,nan,membrane
CDH19,nan,nan,nan,membrane
CDH2,nan,nan,nan,membrane
CDH20,nan,nan,nan,membrane
CDH22,nan,nan,nan,membrane
CDH23,nan,nan,nan,membrane
CDH24,nan,nan,nan,membrane
CDH26,nan,nan,nan,membrane
CDH3,nan,nan,nan,membrane
CDH4,nan,nan,nan,membrane
CDH5,nan,nan,nan,membrane / nucleus
CDH5,nan,nan,nan,membrane / nucleus
CDH6,nan,nan,nan,membrane
CDH7,nan,nan,nan,membrane
CDH8,nan,nan,nan,membrane
CDH9,nan,nan,nan,membrane
CDHR1,nan,nan,nan,membrane
CDHR2,nan,nan,nan,membrane
CDHR3,nan,nan,nan,membrane
CDHR4,nan,nan,nan,membrane
CDHR5,nan,nan,nan,membrane
CDIPT ,nan,nan,nan,NA
CDK1,nan,nan,nan,cytoskeleton / mitochondrion / nucleus / cytosol
CDK4,nan,nan,nan,nucleus / cytosol
CDK9,cytosol,nucleoplasm,nan,nucleus
CEACAM1,CAMKII regulated,nan,nan,membrane / extracellular
CEP97 ,centrosome,nan,nan,NA
CERK,nan,nan,nan,membrane
CETN1,centrosome,ciliae,nan,cytoskeleton / cytosol
CETN2,centrosome,ciliae,nan,cytoskeleton / nucleus / cytosol
CETN3,centrosome,ciliae,nan,cytoskeleton / nucleus
CFAP221,nan,nan,nan,nucleus / cytosol
CGREF1,extracellular,nan,nan,extracellular
CHCHD4,mirochondria,nan,nan,mitochondrion
CHERP,ER membrane,nucleus,nan,reticulum
CHGA,nan,nan,nan,extracellular
CHP1,PM,nucleus,Golgi apparatus,membrane
CHP2,PM,nucleus,nan,membrane / nucleus
CHRM1,nan,nan,nan,membrane
CHRM2,nan,nan,nan,membrane
CHRM3,nan,nan,nan,membrane
CHRNA1,PM,nan,nan,membrane
CHRNA10,PM,nan,nan,membrane
CHRNA2,PM,nan,nan,membrane
CHRNA3,PM,nan,nan,membrane
CHRNA4,PM,nan,nan,membrane
CHRNA5,PM,nan,nan,membrane
CHRNA6,PM,nan,nan,membrane
CHRNA7,PM,nan,nan,membrane
CHRNA9,PM,nan,nan,membrane
CHRNB1,PM,nan,nan,membrane
CHRNB2,PM,nan,nan,membrane
CHRNB3,PM,nan,nan,membrane
CHRNB4,PM,nan,nan,membrane
CHRND,PM,nan,nan,membrane
CHRNE,PM,nan,nan,membrane
CIB1,cytosol,membrane bound,nan,membrane / cytoskeleton / nucleus
CIB2,cytosol,membrane bound,nan,cytoskeleton
CIB3,cytosol,membrane bound,nan,cytoskeleton / nucleus / cytosol
CIB4,cytosol,membrane bound,nucleus,cytosol
CISD2,ER membrane,nan,nan,mitochondrion / reticulum
CLCA1,secretory protein,PM-bound,nan,membrane / extracellular
CLCA2,PM,nan,nan,membrane / extracellular
CLCA4,secretory protein,PM-bound,nan,membrane
CLCN1,PM,nan,nan,membrane
CLCN2,PM,nan,nan,membrane
CLCN3,PM,nan,nan,membrane / endosome
CLCN4,PM,nan,nan,endoplasmic / endosome / lysosome
CLCN5,PM,nan,nan,membrane
CLCN6,PM,nan,nan,membrane / endosome / lysosome
CLCN7,PM,nan,nan,nucleus
CLCNKA,PM,nan,nan,membrane
CLCNKB,PM,nan,nan,membrane
CLDN14,nan,nan,nan,membrane
CLDN16,nan,nan,nan,membrane
CLDN19,nan,nan,nan,membrane
CLDN3,nan,nan,nan,membrane
CLDN4,nan,nan,nan,membrane
CLEC10A,nan,nan,nan,membrane
CLEC4C,nan, coupled fo PLCgamma2,nan,membrane
CLEC4E,nan, coupled fo PLC,nan,membrane
CLEC6A,nan, coupled fo PLC,nan,membrane
CLEC7A,nan, coupled fo PLC,nan,membrane
CLGN,nan,nan,nan,endoplasmic
CLIC2,Intracellular Channel ,nan,nan,cytosol
CLNK,nan,nan,nan,nucleus
CLSTN1,nan,nan,nan,membrane
CLSTN2,nan,nan,nan,membrane
CLSTN3,nan,nan,nan,membrane
CLTA,nan,nan,nan,cytosol
CLTB,nan,nan,nan,membrane / cytosol
CMKLR1 ,nan,nan,nan,NA
CMYA5 ,SR lumen,nan,nan,NA
CNGA1,PM,nan,nan,membrane
CNGA2,PM,nan,nan,membrane
CNGA3 ,PM,nan,nan,NA
CNGA4,PM,nan,nan,membrane
CNGB1,PM,nan,nan,membrane
CNGB1,nan,nan,nan,membrane
CNGB3,PM,nan,nan,membrane / mitochondrion / nucleus / cytosol
CNGB3,nan,nan,nan,membrane / mitochondrion / nucleus / cytosol
CNN1,Cytoskeleton,nan,nan,cytoskeleton
CNN2,Cytoskeleton,nan,nan,cytoskeleton
CNN3,Cytoskeleton,nan,nan,cytoskeleton / cytosol
COMP,nan,nan,nan,extracellular
CPLX1,nan,nan,nan,cytosol
CPLX2,nan,nan,nan,nucleus / cytosol
CPNE1,nan,nan,nan,nucleus / cytosol
CPNE2,nan,nan,nan,membrane / extracellular
CPNE3,nan,nan,nan,membrane / nucleus / cytosol
CPNE4,nan,nan,nan,extracellular / cytosol
CPNE5,nan,nan,nan,extracellular / cytosol
CPNE6,nan,nan,nan,membrane / extracellular
CPNE7,nan,nan,nan,membrane / nucleus
CPNE8,nan,nan,nan,extracellular
CPNE9,nan,nan,nan,membrane / extracellular
CPPED1,nan,nan,nan,membrane / extracellular / cytosol / lysosome
CR2,nan,nan,nan,membrane
CRACR2A,golgi apparatus,cytosol,vesicles,membrane / cytoskeleton
CRACR2B,golgi apparatus,cytosol,vesicles,nucleus / cytosol
CRBN,nan,nan,nan,nucleus
CREB1,nan,nan,nan,nucleus
CREB3,nan,nan,nan,reticulum / cytosol
CREBBP,nan,nan,nan,nucleus
CRELD1,endoplasmic reticulum (ER) i,nan,Calcineurin regulator,membrane / extracellular / nucleus / cytosol
CREM,nan,nan,nan,nucleus
CRHSP24,cytosol,nan,nan,nucleus
CRISP1,nan,nan,nan,extracellular / nucleus
CRNN,cytosol,nan,nan,extracellular / cytosol
CRTAC1,nan,nan,nan,membrane
CRTC1 ,cytosol,nucleus,nan,NA
CRTC2 ,cytosol,nucleus,nan,NA
CTRB1,nan,nan,nan,extracellular
CTRC,nan,nan,nan,extracellular
CUL5,nan,nan,nan,cytosol
CX3CR1,nan,nan,nan,membrane
CXCR1,nan,nan,nan,membrane
CXCR2,nan,nan,nan,membrane / nucleus / lysosome
CXCR3,nan,nan,nan,membrane
CXCR4,nan,nan,nan,membrane / extracellular / endosome / lysosome
CXCR5,nan,nan,nan,membrane
CXCR6,nan,nan,nan,membrane
DAGLA,nan,nan,nan,membrane / endosome
DAGLB,nan,nan,nan,membrane
DAPK1,cytosol,cytoskeleton,nan,membrane / cytoskeleton
DAPK2,cytosol,cytoskeleton,nan,nucleus
DAPP1,nan,nan,nan,membrane / cytosol
DCHS1,nan,nan,nan,membrane
DCHS2,nan,nan,nan,membrane
DDX3X,nan,nan,nan,membrane / cytoskeleton / nucleus / cytosol
DDX5,nan,nan,nan,nucleus
DGKA,cytosol,nan,nan,cytosol
DGKB,cytosol,nan,nan,cytosol
DGKG,cytosol,nan,nan,cytosol
DHHC21,nan,nan,nan,membrane
DISC1,Endoplasmic Reticulum Calcium,nan,nan,cytoskeleton / mitochondrion
DLG3,cytosol,nan,nan,membrane / cytosol
DLG4,cytosol,nan,nan,membrane / cytoskeleton / cytosol
DLG4,nan,nan,nan,membrane / cytoskeleton / cytosol
DMD,Cytoskeleton,membrane associated,nan,membrane / cytoskeleton / nucleus / cytosol
DNAJB9,ER lumen,nan,nan,extracellular / nucleus / reticulum
DNAJC3,ER lumen,nan,nan,extracellular / cytosol / lysosome
DNM1,cytosol,microtubule,nan,membrane / extracellular / cytoskeleton / mitochondrion / nucleus / cytosol
DNM1L ,Mitochondrion outer membrane,nan,nan,NA
DOC2A,nan,nan,nan,cytosol / lysosome
DOC2B,nan,nan,nan,membrane
DPYSL2,nan,nan,nan,membrane / cytosol
DRD1,nan,nan,nan,membrane
DRD2,nan,nan,nan,membrane
DRD3,nan,nan,nan,membrane
DRD4,nan,nan,nan,membrane
DRD5,nan,nan,nan,membrane
DSG1,nan,nan,nan,membrane
DST,cytoskeleton,cytoskeleton,nan,membrane / cytoskeleton
DTNA,cytosol,nan,nan,membrane / cytoskeleton / nucleus
DTNB,cytosol,nan,nan,nucleus
DUOX1,PM,nan,nan,membrane / plasma
DUOX1,activated by calcium,nan,nan,membrane / plasma
DUOX2,PM,nan,nan,membrane / plasma / cytosol
DUOX2,activated by calcium,nan,nan,membrane / plasma / cytosol
DUOXA1,PM,nan,nan,membrane / plasma
DUOXA2,PM,nan,nan,membrane / plasma / cytosol
DUSP1,nan,nan,nan,nucleus
DYRK2,NFTA phosphp,nan,nan,nucleus / cytosol
DYSF,nan,nan,nan,membrane / endosome
DYTN,cytosol,nan,nan,membrane
E2F4,nan,nan,nan,nucleus
E2F5,nan,nan,nan,nucleus
EDNRA,nan,nan,nan,membrane
EDNRB,nan,nan,nan,membrane
EEA1,nan,nan,nan,membrane / endosome / cytosol
EEF1A1,cytosol,nucleoplasm,nan,membrane / cytoskeleton / nucleus / cytosol
EEF2K,nan,nan,nan,cytosol
EFCAB1,cytosol,axoneme,nan,cytosol
EFCAB10,cytosol,nan,nan,nucleus / cytosol
EFCAB11,cytosol,nan,nan,nucleus / cytosol
EFCAB12,cytosol,nan,nan,nucleus / cytosol
EFCAB14,cytosol,nan,nan,nucleus
EFCAB2,cytosol,axoneme,nan,cytosol
EFCAB3,cytosol,nan,nan,nucleus / cytosol
EFCAB5,cytosol,nan,nan,cytosol
EFCAB6,cytosol,nan,nan,mitochondrion
EFCAB7,cytosol,nan,nan,membrane
EFCAB8,cytosol,nan,nan,nucleus / cytosol
EFCAB9,cytosol,nan,nan,cytosol
EFCC1,cytosol,nan,nan,cytosol
EFEMP1,extracellular matrix ,nan,nan,extracellular
EFEMP2,extracellular matrix ,nan,nan,extracellular
EFHB,cytosol,nan,nan,nucleus / cytosol
EFHC1,cytoskeleton,microtubule,nan,cytoskeleton
EFHC2,cytoskeleton,microtubule,axoneme,cytoskeleton
EFHD1,mitochondrion inner membrane,nan,nan,mitochondrion
EFHD2,cytosol,cytoskeleton,nan,membrane / cytosol
EGFR,nan,nan,nan,membrane / extracellular / nucleus / endosome
EIF2AK3,nan,nan,nan,endoplasmic
EIF3E,nan,nan,nan,nucleus / cytosol
EIF4E,nan,nan,nan,cytosol
ELK1,nan,nan,nan,mitochondrion
EMC1,ER membrane,nan,nan,endoplasmic
ENKUR,cytosol,axoneme,nan,membrane / extracellular / cytoskeleton
ENO1,nan,nan,nan,membrane / nucleus / cytosol
ENPP1,nan,nan,nan,membrane / extracellular
ENPP2,nan,nan,nan,extracellular
ENTPD1,purinergic signaling,enzyme,Ca2+ dependent,membrane / extracellular
ENTPD4,purinergic signaling,enzyme,Ca2+ dependent,membrane / lysosome
ENTPD5,nan,nan,Ca2+ dependent,extracellular
ENTPD6,nan,nan,Ca2+ dependent,membrane / extracellular
ENTPD7,nan,nan,Ca2+ dependent,membrane
EP300,nan,nan,nan,nucleus / cytosol
EPB41,Cytoskeleton,nan,nan,membrane / cytoskeleton / nucleus / cytosol
EPB41,nan,nan,nan,membrane / cytoskeleton / nucleus / cytosol
EPCAM,nan,nan,nan,membrane / extracellular
EPN1,nan,nan,nan,cytosol
